UNC27781681 UNCHS044153 UNCHS044154 JAX00436295 UNC27782039 UNC27782319 UNC27782556 UNCHS044157 UNCHS044158 UNC27783294 JAX00436342 UNCHS044159 UNC27784624 UNCJPD006601 UNCHS044161 UNCHS044162 UNC27785817 UNC27786598 JAX00436408 JAX00075133 UNC27787813 UNC27789455 UNCHS044163 UNCHS044164 JAX00436462 UNC27790128 UNC27790980 JAX00075148 JAX00075149 UNCJPD008530 UNC27791907 UNC27792423 UNCHS044166 UNC27792845 UNC27793027 UNC27793239 UNC27793465 UNCHS044167 UNCHS044168 UNC27794178 UNCHS044169
UNC27781681 -1998.92508373162 -1998.92517276233 -1998.92354808119 -1998.90963794243 -1998.90749741184 -1998.90729114134 -1998.90765990914 -1999.18684143434 -1999.1955926292 -1999.21401862028 -1999.21394484544 -1999.2126299305 -1999.16772457396 -1999.1663036555 -1999.16566721868 -1999.16558862179 -1999.16545396898 -1999.16304251753 -1999.17151654541 -1999.73677028139 -2010.93616483987 -2011.31192411621 -2011.35138487937 -2011.36007422996 -2018.58127167544 -2019.10855212972 -2023.2858137157 -2024.73651496963 -2025.38653723073 -2025.62325955182 -2025.85527661227 -2032.49167768564 -2041.84470913454 -2042.50144920042 -2042.87487650713 -2042.88151990232 -2042.88260395681 -2042.88354982067 -2042.89261081695 -2043.09311670861 -2050.18422996203
UNCHS044153 -1998.92523706627 -1998.92532658439 -1998.92369788794 -1998.909766695 -1998.90762591916 -1998.90741982662 -1998.90778880999 -1999.18705599207 -1999.19581179599 -1999.21425237414 -1999.21417860653 -1999.21286380873 -1999.16785034113 -1999.16642847152 -1999.16579161025 -1999.16571296694 -1999.16557824619 -1999.16316474378 -1999.17166274767 -1999.73679860173 -2010.93551247016 -2011.31148763339 -2011.35096763185 -2011.35966004035 -2018.58085813246 -2019.10814097422 -2023.28542439168 -2024.73613093538 -2025.38615572733 -2025.62287775853 -2025.85489459193 -2032.49143395071 -2041.84432997796 -2042.50103155941 -2042.8744389966 -2042.88107599369 -2042.88215999259 -2042.88310580793 -2042.89216678644 -2043.0926725059 -2050.18361864258
UNCHS044154 -1998.92534037361 -1998.92543088026 -1998.92382188346 -1998.91006602639 -1998.90796149262 -1998.907755695 -1998.9081247057 -1999.18743047186 -1999.19618815874 -1999.21463460721 -1999.21456081683 -1999.21324561448 -1999.16790135941 -1999.16647737717 -1999.16583961115 -1999.1657609047 -1999.16562614441 -1999.16320580203 -1999.17181241614 -1999.73642657785 -2010.92794595359 -2011.30692414104 -2011.34664543481 -2011.35537602211 -2018.57675071102 -2019.10399262496 -2023.28125114326 -2024.73196245445 -2025.38199391696 -2025.61870128351 -2025.85070490346 -2032.48865159896 -2041.84082212187 -2042.49720061809 -2042.87042029253 -2042.87697388047 -2042.87805752441 -2042.87900302998 -2042.8880632056 -2043.08855510479 -2050.17616089355
JAX00436295 -1998.9269782298 -1998.92708251422 -1998.92558339086 -1998.91285672735 -1998.91098540907 -1998.91077857723 -1998.91114783676 -1999.19092087255 -1999.19970062726 -1999.21821638737 -1999.21814223067 -1999.21682053814 -1999.16746254732 -1999.16601675209 -1999.16536964943 -1999.16529030217 -1999.1651551576 -1999.16265904866 -1999.17242594937 -1999.73271621702 -2010.87925882598 -2011.2769735361 -2011.3182205429 -2011.32719459841 -2018.55312704572 -2019.07986797552 -2023.25541846603 -2024.7057846056 -2025.35570045912 -2025.59227571341 -2025.82415744308 -2032.47076427255 -2041.81703341318 -2042.4713183901 -2042.84332644739 -2042.84937731037 -2042.85045855532 -2042.85140196709 -2042.86045001439 -2043.06071319709 -2050.122241292
UNC27782039 -1998.92739028347 -1998.92749783171 -1998.92600446997 -1998.91333296383 -1998.91147781008 -1998.91126996573 -1998.911639277 -1999.19151949059 -1999.20030421217 -1999.21883567447 -1999.21876142209 -1999.21743803659 -1999.16719087678 -1999.16574089267 -1999.16509199716 -1999.16501252834 -1999.16487731283 -1999.1623655477 -1999.17236219373 -1999.73203932443 -2010.8758732243 -2011.27465234929 -2011.31599019647 -2011.32497947145 -2018.55234426034 -2019.07897201153 -2023.25389633451 -2024.70411626626 -2025.35397260012 -2025.59052603944 -2025.82238694491 -2032.46946781891 -2041.81488062363 -2042.46900204363 -2042.84091623732 -2042.84693752446 -2042.84801854944 -2042.84896176914 -2042.85800668544 -2043.05820810331 -2050.11631376741
UNC27782319 -1998.92754518007 -1998.92765303669 -1998.9261613721 -1998.91350252651 -1998.91164890593 -1998.91144312234 -1998.91181370615 -1999.19213736146 -1999.20094864854 -1999.21956614293 -1999.21949201643 -1999.21817079524 -1999.16786917995 -1999.16641749458 -1999.16576777053 -1999.16568818364 -1999.16555274957 -1999.16303901495 -1999.17302825813 -1999.7327257098 -2010.87672209491 -2011.27544793157 -2011.31678101337 -2011.32576960307 -2018.55336381741 -2019.07999335634 -2023.25489549777 -2024.70510793745 -2025.35496093581 -2025.59151386312 -2025.82337417103 -2032.47052915102 -2041.81527806524 -2042.46932321977 -2042.84120558484 -2042.84722881586 -2042.84830967419 -2042.84925274841 -2042.8582975812 -2043.05849742372 -2050.11664690717
UNC27782556 -1998.92750907559 -1998.92761715847 -1998.92612553287 -1998.91346701711 -1998.91161345609 -1998.91140893886 -1998.91178062438 -1999.19266006749 -1999.20149893887 -1999.22020018356 -1999.22012619071 -1999.21880727407 -1999.16847153702 -1999.16701791692 -1999.16636729939 -1999.16628758255 -1999.16615192031 -1999.16363675555 -1999.17363273548 -1999.73337218207 -2010.87746242172 -2011.27623273272 -2011.31756875534 -2011.3265578284 -2018.5542442214 -2019.08087949183 -2023.25582916815 -2024.70605816583 -2025.35591833812 -2025.59247303284 -2025.82433505585 -2032.47156550236 -2041.81598217355 -2042.46997901148 -2042.84184003669 -2042.84786232989 -2042.84894309367 -2042.84988608535 -2042.85893065467 -2043.05912510128 -2050.11733025099
UNCHS044157 -1998.60022623627 -1998.60041601554 -1998.59887753698 -1998.58588761425 -1998.58400605212 -1998.58423642146 -1998.58505703503 -1999.2319880589 -1999.26606057298 -1999.36856850408 -1999.36866501729 -1999.37032283133 -1999.31397810801 -1999.31168023631 -1999.31064636975 -1999.31050991047 -1999.31028211515 -1999.30805238795 -1999.33060970643 -1999.94022200071 -2011.18669181053 -2011.67175756906 -2011.71967660226 -2011.72969963036 -2018.96885822599 -2019.50249471882 -2023.76407014525 -2025.24644354448 -2025.91058126674 -2026.15067426806 -2026.38604809231 -2033.09488496184 -2042.3767136685 -2043.00966847636 -2043.37137126563 -2043.37485997604 -2043.37591073541 -2043.37682755163 -2043.3855991918 -2043.57997087464 -2050.69945554372
UNCHS044158 -1998.56923647605 -1998.56943016775 -1998.56789072229 -1998.55489324002 -1998.55301092907 -1998.55326344042 -1998.55409693368 -1999.21669583041 -1999.25250865348 -1999.36149005362 -1999.36160101333 -1999.36351238614 -1999.30674125701 -1999.30440422314 -1999.3033525534 -1999.30321349935 -1999.30298177369 -1999.30081191506 -1999.32434303467 -1999.93732329619 -2011.19154736735 -2011.68393637269 -2011.73246561393 -2011.7425850439 -2018.9832368562 -2019.51743680683 -2023.78625476552 -2025.27139107463 -2025.93677040339 -2026.17717260908 -2026.41285415363 -2033.1268325946 -2042.40256489997 -2043.03388946521 -2043.39482363403 -2043.39812156875 -2043.39917000421 -2043.40008479298 -2043.4088401064 -2043.60285641372 -2050.72888957784
UNC27783294 -1998.45740574576 -1998.45761155278 -1998.45607010851 -1998.44305526611 -1998.44117092736 -1998.44149273206 -1998.44235644873 -1999.14824295509 -1999.18973650198 -1999.32078007276 -1999.32094336877 -1999.3237749169 -1999.26687015927 -1999.26445156235 -1999.26336158782 -1999.26321686348 -1999.26297749865 -1999.2610857186 -1999.28813907227 -1999.91256134738 -2011.19411908582 -2011.71390994291 -2011.76478963946 -2011.7752801742 -2019.01737150436 -2019.55363907889 -2023.84962905789 -2025.34522259455 -2026.01532124661 -2026.25691034543 -2026.49377409934 -2033.22245838529 -2042.47765387118 -2043.10290487091 -2043.46096647417 -2043.4635354918 -2043.46457511798 -2043.46548222073 -2043.47418198753 -2043.66697363672 -2050.81767876099
