UNC27781681 UNCHS044153 UNCHS044154 JAX00436295 UNC27782039 UNC27782319 UNC27782556 UNCHS044157 UNCHS044158 UNC27783294 JAX00436342 UNCHS044159 UNC27784624 UNCJPD006601 UNCHS044161 UNCHS044162 UNC27785817 UNC27786598 JAX00436408 JAX00075133 UNC27787813 UNC27789455 UNCHS044163 UNCHS044164 JAX00436462 UNC27790128 UNC27790980 JAX00075148 JAX00075149 UNCJPD008530 UNC27791907 UNC27792423 UNCHS044166 UNC27792845 UNC27793027 UNC27793239 UNC27793465 UNCHS044167 UNCHS044168 UNC27794178 UNCHS044169
UNC27781681 -1720.30752810017 -1720.30745636931 -1720.31169426822 -1720.3433355027 -1720.34738107913 -1720.34751747905 -1720.34790937671 -1720.57358698583 -1720.5708322188 -1720.5382401297 -1720.53804234934 -1720.53451448971 -1720.53967179089 -1720.53973730178 -1720.53975600713 -1720.53975894729 -1720.53975183428 -1720.54222304127 -1720.54363750756 -1718.08030193986 -1721.33529886974 -1721.40408619621 -1721.41453185686 -1721.41699966822 -1725.22630885222 -1725.38345001158 -1726.99878390378 -1727.63316785127 -1727.92353254103 -1728.02535545295 -1728.12575239905 -1729.78553003332 -1735.33061143181 -1735.85909892865 -1736.16632932151 -1736.16700533379 -1736.16798528561 -1736.1688411821 -1736.16386452746 -1736.07485381678 -1739.12927219645
UNCHS044153 -1720.30808317244 -1720.3080113669 -1720.31224016028 -1720.34380573777 -1720.3478393462 -1720.34797544786 -1720.34836731854 -1720.57404530026 -1720.57129047369 -1720.53869812151 -1720.5385003395 -1720.53497245116 -1720.54012149726 -1720.54018692636 -1720.54020559666 -1720.54020853321 -1720.54020141653 -1720.54267407868 -1720.54408755668 -1718.08071910375 -1721.33551118765 -1721.40429646506 -1721.41474887505 -1721.41721772224 -1725.22649509429 -1725.38363616304 -1726.99897585395 -1727.63336141841 -1727.92372687644 -1728.02555005669 -1728.12594726766 -1729.78583887395 -1735.3307712781 -1735.85925252287 -1736.16647978429 -1736.16715386623 -1736.16813379212 -1736.16898966595 -1736.16401298733 -1736.07500191301 -1739.12936402165
UNCHS044154 -1720.3091270051 -1720.30905254957 -1720.31316640946 -1720.34419004875 -1720.34821972361 -1720.34835646458 -1720.34874832784 -1720.57440848633 -1720.57165291665 -1720.53905892332 -1720.53886111709 -1720.53533280401 -1720.54055007498 -1720.54061562906 -1720.54063435085 -1720.54063728095 -1720.54063012869 -1720.54309996292 -1720.54452571354 -1718.08077745633 -1721.33614593864 -1721.40493451318 -1721.41538263216 -1721.41785048848 -1725.22689625905 -1725.38403945055 -1726.99939742154 -1727.63378920291 -1727.92415737126 -1728.02598148527 -1728.12637961502 -1729.78565032987 -1735.33127423218 -1735.85976361902 -1736.16699342879 -1736.16766810542 -1736.16864803025 -1736.16950390314 -1736.1645274423 -1736.07552078691 -1739.12987911707
JAX00436295 -1720.33735504988 -1720.33726767311 -1720.34006350805 -1720.36261522408 -1720.36584915842 -1720.36597500745 -1720.36636707413 -1720.59206241186 -1720.58930932886 -1720.55672590899 -1720.5565280572 -1720.55299893536 -1720.55816665254 -1720.55823164738 -1720.55825011853 -1720.55825301567 -1720.55824580701 -1720.5607941245 -1720.56225134961 -1718.09429566667 -1721.34483691794 -1721.41359611468 -1721.42423614674 -1721.42673149358 -1725.23314747818 -1725.39031859589 -1727.00605087356 -1727.64055524742 -1727.9309745045 -1728.03281859361 -1728.13323629009 -1729.79291658978 -1735.3382294615 -1735.8664685921 -1736.17355893772 -1736.17416662119 -1736.17514622432 -1736.17600181638 -1736.17102688838 -1736.0820531412 -1739.13498500873
UNC27782039 -1720.34605967956 -1720.34597289693 -1720.3485059646 -1720.3690519892 -1720.37201897379 -1720.37213986476 -1720.37253202579 -1720.5982771104 -1720.59552650264 -1720.56295054586 -1720.56275272533 -1720.55922414763 -1720.56423642838 -1720.56430095332 -1720.56431922293 -1720.56432211992 -1720.56431496063 -1720.56690067039 -1720.56834574208 -1718.09950197795 -1721.34698220549 -1721.41572541482 -1721.42645010263 -1721.42895834181 -1725.23480411066 -1725.3919819828 -1727.00782510539 -1727.64236131985 -1727.93279524704 -1728.03464531795 -1728.13506886699 -1729.79615692319 -1735.3399609681 -1735.86808558187 -1736.17511611172 -1736.17569639594 -1736.17667587434 -1736.17753135752 -1736.17255659645 -1736.08358694975 -1739.13596507194
UNC27782319 -1720.34608779697 -1720.34600094675 -1720.34853048007 -1720.36905264821 -1720.37201726497 -1720.3721377873 -1720.37252978838 -1720.59826690976 -1720.59551580535 -1720.56293837109 -1720.56274053791 -1720.55921174019 -1720.56422672241 -1720.56429093568 -1720.56430907166 -1720.56431194794 -1720.56430475118 -1720.56689040552 -1720.56833552084 -1718.09948188516 -1721.34696459108 -1721.41570732022 -1721.42643138415 -1721.4289395159 -1725.23474445089 -1725.39192192656 -1727.00776491574 -1727.64230099469 -1727.93273484717 -1728.03458469526 -1728.13500803404 -1729.7960312107 -1735.33981345397 -1735.86796172663 -1736.175005435 -1736.17558915328 -1736.17656855406 -1736.17742396925 -1736.17244912413 -1736.08347806783 -1739.13585301802
UNC27782556 -1720.34592702999 -1720.345840153 -1720.34836964729 -1720.36889133987 -1720.37185584739 -1720.37197621756 -1720.37236837474 -1720.5983685055 -1720.59563509624 -1720.56311350422 -1720.56291582437 -1720.5593897013 -1720.56440786721 -1720.56447259537 -1720.56449095339 -1720.56449386146 -1720.56448671893 -1720.56707189556 -1720.56851591107 -1718.09966769165 -1721.34716470709 -1721.41590320261 -1721.42662965823 -1721.42913815399 -1725.23493273126 -1725.39211152016 -1727.00798025438 -1727.64252707328 -1727.93296577986 -1728.03481706082 -1728.13524180812 -1729.79624917999 -1735.34001825907 -1735.86816307262 -1736.17520542574 -1736.17578830677 -1736.17676765436 -1736.17762302303 -1736.17264812155 -1736.08367582676 -1739.1360841748
UNCHS044157 -1719.9919596302 -1719.99187625339 -1719.99435905366 -1720.01431272316 -1720.01714811796 -1720.01726768947 -1720.01785448194 -1720.52753004633 -1720.5487636753 -1720.59790900021 -1720.59795280967 -1720.59865516284 -1720.60652953982 -1720.60753700565 -1720.60796575445 -1720.60802857423 -1720.60812549217 -1720.61038398301 -1720.61043135967 -1718.14399713281 -1721.40678006201 -1721.47230393128 -1721.48694050964 -1721.49005381107 -1725.30571749354 -1725.46501535855 -1727.11739796981 -1727.76745969024 -1728.06496659689 -1728.16910420478 -1728.27177388775 -1729.94311901243 -1735.49669452159 -1736.00544279441 -1736.30253340799 -1736.29993778496 -1736.3008945823 -1736.30173027369 -1736.29678682768 -1736.2080986808 -1739.31750127379
UNCHS044158 -1719.95110105839 -1719.95101788984 -1719.95349781539 -1719.97341672182 -1719.97624424943 -1719.97636347608 -1719.97695806493 -1720.50420829428 -1720.52737607876 -1720.58363242751 -1720.58369805724 -1720.58478375059 -1720.59292408852 -1720.59402030035 -1720.59448809078 -1720.5945566386 -1720.59466352208 -1720.5969129756 -1720.5968535691 -1718.13030521713 -1721.39404406474 -1721.45951166961 -1721.47451220145 -1721.47768217423 -1725.29420184897 -1725.45367406209 -1727.10909562048 -1727.76046000638 -1728.05856320855 -1728.16289891663 -1728.2657632404 -1729.93793611751 -1735.49267946093 -1735.99969766265 -1736.29590966327 -1736.29304468459 -1736.29399949471 -1736.29483345189 -1736.28989660808 -1736.2013088425 -1739.31493983402
UNC27783294 -1719.79599175765 -1719.79590924397 -1719.79838027216 -1719.8181915189 -1719.82099467197 -1719.82111252046 -1719.82172441868 -1720.40150781754 -1720.4311129192 -1720.51172774402 -1720.51186991379 -1720.51430183471 -1720.52336216131 -1720.52477660878 -1720.5253849811 -1720.52547420378 -1720.52561708857 -1720.52784683787 -1720.52741863791 -1718.06008491255 -1721.32689425449 -1721.3924070642 -1721.40874620991 -1721.41212510336 -1725.23204485143 -1725.39214156585 -1727.05840077078 -1727.71442223723 -1728.01466061064 -1728.11971219901 -1728.2232801263 -1729.89861069002 -1735.4576296866 -1735.95851902245 -1736.25164298643 -1736.24784556475 -1736.24879340235 -1736.24962127463 -1736.24471189579 -1736.15656066185 -1739.28585281612
