UNC27781681 UNCHS044153 UNCHS044154 JAX00436295 UNC27782039 UNC27782319 UNC27782556 UNCHS044157 UNCHS044158 UNC27783294 JAX00436342 UNCHS044159 UNC27784624 UNCJPD006601 UNCHS044161 UNCHS044162 UNC27785817 UNC27786598 JAX00436408 JAX00075133 UNC27787813 UNC27789455 UNCHS044163 UNCHS044164 JAX00436462 UNC27790128 UNC27790980 JAX00075148 JAX00075149 UNCJPD008530 UNC27791907 UNC27792423 UNCHS044166 UNC27792845 UNC27793027 UNC27793239 UNC27793465 UNCHS044167 UNCHS044168 UNC27794178 UNCHS044169
UNC27781681 -1764.54335634179 -1764.54347483876 -1764.54357897756 -1764.54442472694 -1764.54455352486 -1764.54512476011 -1764.54527592981 -1764.40266302726 -1764.39260432326 -1764.35952580812 -1764.36023868595 -1764.37265394805 -1764.38988780266 -1764.41875238016 -1764.43100624929 -1764.43283353269 -1764.43607323105 -1764.46223991787 -1764.44994169406 -1763.78651845889 -1767.7576326175 -1767.71632386375 -1767.7062556477 -1767.70361108912 -1769.23147515883 -1769.55183634644 -1772.88066878826 -1773.92442396015 -1774.38257495264 -1774.40746854891 -1774.43441740671 -1775.05510986438 -1778.52472604289 -1778.42928430194 -1778.39509847484 -1778.37031358683 -1778.37033591902 -1778.37035562456 -1778.37110963344 -1778.39529022204 -1782.1174419672
UNCHS044153 -1764.54444046899 -1764.54455923755 -1764.54466471422 -1764.5455224315 -1764.54565327978 -1764.54622507768 -1764.54637649517 -1764.4037626465 -1764.39370440763 -1764.36062818407 -1764.36134110592 -1764.37375714228 -1764.39098766847 -1764.41985400817 -1764.4321086345 -1764.43393603336 -1764.43717594642 -1764.46334390933 -1764.45106056806 -1763.78772971236 -1767.75910004371 -1767.71782722321 -1767.70776534188 -1767.70512176443 -1769.23301318628 -1769.55337533528 -1772.88220435107 -1773.92595783 -1774.38410797957 -1774.40900493349 -1774.43595693686 -1775.05666204525 -1778.52630304936 -1778.43087945286 -1778.39670244223 -1778.37192458199 -1778.37194693705 -1778.37196666258 -1778.37272059988 -1778.39689962162 -1782.11908623812
UNCHS044154 -1764.5707305952 -1764.57085376715 -1764.57100041188 -1764.57221208335 -1764.5724003903 -1764.57297350116 -1764.57312535459 -1764.4305586544 -1764.4205037542 -1764.38743857781 -1764.38815142455 -1764.40056612355 -1764.41769628712 -1764.44656214861 -1764.45881653108 -1764.46064392362 -1764.46388382914 -1764.49004381372 -1764.47807651346 -1763.81666264773 -1767.79331272549 -1767.75272261201 -1767.74278250475 -1767.7401579281 -1769.26924166714 -1769.58957922917 -1772.91813973366 -1773.96181493216 -1774.41993021849 -1774.44486854778 -1774.47185890098 -1775.09162939328 -1778.56169796073 -1778.4668216963 -1778.43292546369 -1778.4083516025 -1778.4083743174 -1778.40839435697 -1778.40914673993 -1778.43329290816 -1782.15531853388
JAX00436295 -1764.80828484978 -1764.80846370529 -1764.80933963125 -1764.81759915119 -1764.81910782045 -1764.81970751894 -1764.81986476417 -1764.67789311566 -1764.66787789015 -1764.6349408629 -1764.63565265916 -1764.64804869185 -1764.66416136865 -1764.69300928079 -1764.70525534354 -1764.70708181191 -1764.71032010219 -1764.73632851291 -1764.72840334668 -1764.08874522961 -1768.13505410109 -1768.10458160354 -1768.09643935793 -1768.09409212918 -1769.63522920872 -1769.9554087966 -1773.28139236491 -1774.32428012647 -1774.7820364231 -1774.8076281529 -1774.83522663175 -1775.44071122329 -1778.91896981357 -1778.8326923012 -1778.80333035027 -1778.78211150972 -1778.78214025299 -1778.78216555428 -1778.78290453848 -1778.80675559193 -1782.53295711128
UNC27782039 -1764.84965976512 -1764.8498511683 -1764.85091132884 -1764.86112918317 -1764.86304210509 -1764.86364971026 -1764.86380821585 -1764.7219768826 -1764.71197064339 -1764.6790621485 -1764.67977368238 -1764.69216505795 -1764.70808453804 -1764.73692644816 -1764.74916976946 -1764.75099589095 -1764.75423356834 -1764.78019887493 -1764.77323679671 -1764.13834528567 -1768.20161406937 -1768.17382108976 -1768.16615600583 -1768.16388211612 -1769.7073989305 -1770.02756584732 -1773.35307274432 -1774.39580584285 -1774.85349000207 -1774.87925666294 -1774.90701831218 -1775.50878155276 -1778.98946056599 -1778.90548710981 -1778.8773566871 -1778.85705810046 -1778.85708850792 -1778.85711526181 -1778.85785204872 -1778.88165199041 -1782.60982558405
UNC27782319 -1764.85072458206 -1764.85091673041 -1764.85198023557 -1764.86223403679 -1764.86415447409 -1764.86476514022 -1764.86492497269 -1764.72309370836 -1764.71309035283 -1764.68019512959 -1764.68090693213 -1764.69330303244 -1764.70922284014 -1764.73807496832 -1764.75032268271 -1764.75214946723 -1764.7553883754 -1764.78136405124 -1764.77442490327 -1764.13962621661 -1768.20321163355 -1768.1754875563 -1768.16783451154 -1768.16556250423 -1769.70905847798 -1770.02922595562 -1773.35472668496 -1774.39745672968 -1774.85513937881 -1774.88091364389 -1774.90868244698 -1775.51068877085 -1778.99129449333 -1778.90730089849 -1778.87915707183 -1778.85885322292 -1778.85888367615 -1778.85891047008 -1778.85964718884 -1778.88344544826 -1782.61172336483
UNC27782556 -1764.85118222566 -1764.85137460945 -1764.85243825036 -1764.86269358486 -1764.86461436121 -1764.86522627165 -1764.86538665993 -1764.72354679514 -1764.71354279428 -1764.68064540745 -1764.68135728818 -1764.69375476596 -1764.70967521826 -1764.73853111479 -1764.75078043816 -1764.75260746508 -1764.75584682742 -1764.78182660297 -1764.77489206587 -1764.14009895443 -1768.20370030361 -1768.17598895556 -1768.16833793986 -1768.16606624974 -1769.709534523 -1770.02970179715 -1773.35519321367 -1774.39791925081 -1774.85560000265 -1774.88137621032 -1774.90914682835 -1775.51129132697 -1778.99184453255 -1778.90782995003 -1778.87967431393 -1778.85936404451 -1778.85939451208 -1778.85942131859 -1778.86015807008 -1778.88395694316 -1782.61225982751
UNCHS044157 -1765.3216375724 -1765.32182481711 -1765.3229039323 -1765.33338484795 -1765.3353633339 -1765.33595066231 -1765.33612400343 -1765.21964062968 -1765.21002241638 -1765.17618108129 -1765.17683858037 -1765.18827994196 -1765.20312146234 -1765.23030490517 -1765.24181359384 -1765.24352868706 -1765.24656920828 -1765.27094364018 -1765.26649590581 -1764.62958857262 -1768.68840648909 -1768.66345980719 -1768.65603801851 -1768.6537830835 -1770.19707262558 -1770.51603984704 -1773.82285781171 -1774.85899387263 -1775.31367558038 -1775.33903433899 -1775.36637373769 -1775.98385267582 -1779.44914392528 -1779.3745507679 -1779.3525785254 -1779.33795137537 -1779.33799310126 -1779.33802974394 -1779.33882174612 -1779.36384283596 -1783.09591693329
UNCHS044158 -1765.35867047143 -1765.35885739745 -1765.35993791738 -1765.37043922891 -1765.37242292569 -1765.37300906155 -1765.37318505828 -1765.26091534745 -1765.25151613186 -1765.21825532618 -1765.21890844036 -1765.23027254075 -1765.24501433631 -1765.27200610516 -1765.28343022433 -1765.28513253514 -1765.28815033376 -1765.31234356096 -1765.30814963622 -1764.67125351939 -1768.7298188294 -1768.70518380433 -1768.69778822081 -1768.69553541737 -1770.23873488235 -1770.55757065476 -1773.86243381462 -1774.89789814236 -1775.35227686692 -1775.37758716393 -1775.40487715794 -1776.02396528789 -1779.48739781637 -1779.41380513578 -1779.39249941922 -1779.37849881344 -1779.37854170572 -1779.37857936757 -1779.37937509546 -1779.4044837461 -1783.13716863072
UNC27783294 -1765.48134143121 -1765.48152775915 -1765.48261361576 -1765.49319116491 -1765.49519418492 -1765.49577901278 -1765.49596644877 -1765.40027388357 -1765.3918451089 -1765.36137340252 -1765.36200959699 -1765.37307557965 -1765.38742697947 -1765.41362788343 -1765.42470371217 -1765.42635340379 -1765.42927771106 -1765.45272225247 -1765.44946263703 -1764.81270908664 -1768.8704470137 -1768.84695107086 -1768.83964437472 -1768.83739828158 -1770.37952126307 -1770.69782418502 -1773.99523073629 -1775.02816276404 -1775.48140279953 -1775.50650951225 -1775.53359384753 -1776.15804586496 -1779.61457063852 -1779.54461687602 -1779.52577481446 -1779.51410951575 -1779.51415685338 -1779.51419839955 -1779.5150058593 -1779.54039827305 -1783.27517908325
