UNC27781681 UNCHS044153 UNCHS044154 JAX00436295 UNC27782039 UNC27782319 UNC27782556 UNCHS044157 UNCHS044158 UNC27783294 JAX00436342 UNCHS044159 UNC27784624 UNCJPD006601 UNCHS044161 UNCHS044162 UNC27785817 UNC27786598 JAX00436408 JAX00075133 UNC27787813 UNC27789455 UNCHS044163 UNCHS044164 JAX00436462 UNC27790128 UNC27790980 JAX00075148 JAX00075149 UNCJPD008530 UNC27791907 UNC27792423 UNCHS044166 UNC27792845 UNC27793027 UNC27793239 UNC27793465 UNCHS044167 UNCHS044168 UNC27794178 UNCHS044169
UNC27781681 -1569.65320895357 -1569.65339422194 -1569.67692992815 -1569.98344929466 -1570.05802250081 -1570.05956072624 -1570.05951026074 -1569.98232124921 -1569.96947605388 -1569.91803464697 -1569.91776667952 -1569.9129801454 -1569.44865045272 -1569.43227050885 -1569.42489116539 -1569.42384910542 -1569.42197147339 -1569.37736778794 -1569.39166038787 -1569.44185383348 -1569.52187515024 -1569.72242907568 -1569.77511237142 -1569.78379805658 -1570.23986959027 -1570.28392495616 -1570.56324094107 -1570.64230123903 -1570.67526699621 -1570.69036177041 -1570.70480378114 -1572.15927846139 -1572.41581138357 -1572.40090362895 -1572.39413555897 -1572.3910448233 -1572.39108729926 -1572.39112450261 -1572.39125000482 -1572.39418700703 -1572.33778037161
UNCHS044153 -1569.65299560345 -1569.65318086263 -1569.67671634548 -1569.98323461181 -1570.05780782025 -1570.05934603984 -1570.05929557078 -1569.98210585634 -1569.96926059253 -1569.91781896117 -1569.91755099646 -1569.91276451036 -1569.44843583511 -1569.43205603576 -1569.4246767555 -1569.42363470483 -1569.42175708916 -1569.37715316199 -1569.3914457752 -1569.44163931358 -1569.52166064721 -1569.72221572563 -1569.7748992691 -1569.78358499519 -1570.23965522309 -1570.28371059461 -1570.56302673462 -1570.64208709883 -1570.67505288053 -1570.69014770682 -1570.70458976795 -1572.15906605603 -1572.41560043946 -1572.40069254999 -1572.39392435476 -1572.39083358008 -1572.39087605553 -1572.39091325844 -1572.39103875996 -1572.3939757488 -1572.3375693926
UNCHS044154 -1569.65065926984 -1569.65084421685 -1569.67437255303 -1569.98083465425 -1570.05539971377 -1570.05693772852 -1570.05688721321 -1569.97969138256 -1569.96684561186 -1569.915402216 -1569.91513425627 -1569.9103478579 -1569.44602973528 -1569.4296504285 -1569.42227136784 -1569.42122934766 -1569.41935178513 -1569.37474405058 -1569.3890364055 -1569.43922974219 -1569.51924985634 -1569.71981290524 -1569.77249780732 -1569.78118376694 -1570.23724544263 -1570.28130149327 -1570.56062093464 -1570.6396822144 -1570.6726483345 -1570.68774349461 -1570.70218588098 -1572.15667030313 -1572.41321970798 -1572.39831028669 -1572.39154100406 -1572.38844968723 -1572.38849216405 -1572.38852936816 -1572.3886548688 -1572.39159184245 -1572.33519384593
JAX00436295 -1569.63320173454 -1569.63338363188 -1569.65683927952 -1569.96270126016 -1570.03717215185 -1570.03870797732 -1570.03865705122 -1569.961409796 -1569.94855969113 -1569.89710062681 -1569.89683265982 -1569.89204613568 -1569.42781789247 -1569.41144033939 -1569.40406208653 -1569.40302016619 -1569.40114277487 -1569.35650421816 -1569.37079510821 -1569.42098578053 -1569.50099561198 -1569.70161117169 -1569.75430256685 -1569.76298969331 -1570.21901480866 -1570.26307786049 -1570.54242956843 -1570.62149909085 -1570.65446830236 -1570.66956493494 -1570.68400877873 -1572.13847529025 -1572.39511762127 -1572.38019857059 -1572.37342259653 -1572.37032740785 -1572.37036991532 -1572.37040714627 -1572.3705327074 -1572.37347090295 -1572.31714097395
UNC27782039 -1569.63088149783 -1569.63106280428 -1569.65450379903 -1569.96023931605 -1570.03468907916 -1570.03622444312 -1570.03617344552 -1569.95891786852 -1569.94606704552 -1569.89460525377 -1569.89433727431 -1569.88955053149 -1569.42533709621 -1569.40895927816 -1569.40158091735 -1569.40053897721 -1569.39866155025 -1569.35401828272 -1569.36830909858 -1569.41849911865 -1569.49850727997 -1569.6991279959 -1569.75181930722 -1569.76050643912 -1570.21653376801 -1570.26059824925 -1570.5399562146 -1570.61902719592 -1570.6519969642 -1570.66709352805 -1570.68153731379 -1572.13598106461 -1572.39263073817 -1572.37771087798 -1572.3709343855 -1572.36783872867 -1572.36788124551 -1572.36791848465 -1572.36804407117 -1572.37098277472 -1572.31466333764
UNC27782319 -1569.63141582349 -1569.63159711964 -1569.65503794837 -1569.96077220108 -1570.03522179131 -1570.0367571465 -1570.03670614462 -1569.959449414 -1569.94659847503 -1569.89513631138 -1569.8948683362 -1569.89008166822 -1569.42587019557 -1569.40949257404 -1569.40211429822 -1569.40107237051 -1569.39919496551 -1569.3545517755 -1569.36884269557 -1569.41903296649 -1569.49904136419 -1569.69966273919 -1569.75235415237 -1569.76104130036 -1570.21706799038 -1570.26113246506 -1570.54049057523 -1570.61956157304 -1570.65253134667 -1570.66762789206 -1570.68207166039 -1572.13651254305 -1572.39316205297 -1572.37824233293 -1572.37146584856 -1572.36837020803 -1572.36841272437 -1572.36844996308 -1572.36857554921 -1572.37151424566 -1572.31519489926
UNC27782556 -1569.63162933602 -1569.63181063166 -1569.65525149599 -1569.9609862314 -1570.03543594195 -1570.03697129542 -1570.03692029068 -1569.95966240306 -1569.94681134372 -1569.89534877903 -1569.89508080665 -1569.89029418764 -1569.42608364877 -1569.40970617666 -1569.40232796563 -1569.40128604753 -1569.3994086595 -1569.35476542804 -1569.36905635053 -1569.41924667076 -1569.49925507098 -1569.69987629276 -1569.75256764587 -1569.76125478381 -1570.21728099922 -1570.26134543188 -1570.54070336552 -1570.61977431377 -1570.65274406514 -1570.66784060503 -1570.68228436766 -1572.13672383459 -1572.39337332599 -1572.37845371657 -1572.37167724095 -1572.36858161994 -1572.3686241358 -1572.36866137409 -1572.36878695974 -1572.37172564731 -1572.31540663952
UNCHS044157 -1569.56912800319 -1569.56931019447 -1569.59278493634 -1569.89882341294 -1569.97332659185 -1569.97486237861 -1569.9748105796 -1569.89689285637 -1569.88397091502 -1569.83226143158 -1569.83199389014 -1569.8272148303 -1569.36296326051 -1569.34662944808 -1569.339270297 -1569.33823127923 -1569.33635902924 -1569.29162006062 -1569.30585280431 -1569.35594868663 -1569.435807475 -1569.63581484725 -1569.68835738545 -1569.6970204522 -1570.15306069355 -1570.19710801909 -1570.47626201105 -1570.55527730728 -1570.58822231614 -1570.60332240663 -1570.61776882011 -1572.07225615932 -1572.328925101 -1572.31406233803 -1572.30729997526 -1572.30421959309 -1572.30426190939 -1572.30429897298 -1572.30442457754 -1572.30736404029 -1572.25168179935
UNCHS044158 -1569.56949775489 -1569.56968005026 -1569.59315769641 -1569.89922013933 -1569.97372709021 -1569.97526306313 -1569.97521130549 -1569.89727651184 -1569.88435222062 -1569.83263385169 -1569.83236632512 -1569.82758752816 -1569.36332833392 -1569.34699609458 -1569.3396376316 -1569.33859872008 -1569.33672665776 -1569.2919847517 -1569.30621256515 -1569.35630214385 -1569.43615229872 -1569.63612479422 -1569.68866020554 -1569.69732214135 -1570.15337599837 -1570.19742537101 -1570.47658140235 -1570.55559665043 -1570.58854153524 -1570.60364306295 -1570.61809080456 -1572.07262110535 -1572.32929221733 -1572.31443111 -1572.30766892559 -1572.30458899515 -1572.30463129332 -1572.30466834105 -1572.3047939648 -1572.30773381871 -1572.25210034085
UNC27783294 -1569.57764654657 -1569.57782920444 -1569.60131667768 -1569.90746019443 -1569.98197990029 -1569.98351657124 -1569.98346499757 -1569.90548544769 -1569.89255427416 -1569.84080905227 -1569.84054157693 -1569.83576368501 -1569.37148302546 -1569.35515587589 -1569.34779963221 -1569.34676106271 -1569.34488960393 -1569.30013813894 -1569.31434819699 -1569.36441668213 -1569.44423854639 -1569.64409216761 -1569.69660391278 -1569.70526210195 -1570.16136650966 -1570.20542282912 -1570.48458685197 -1570.56360243675 -1570.59654712335 -1570.61165374306 -1570.62610619926 -1572.08077602316 -1572.33745455748 -1572.32259812511 -1572.31583612747 -1572.31275728114 -1572.31279951554 -1572.31283650745 -1572.31296221956 -1572.3159038566 -1572.26043819072
