UNC27781681 UNCHS044153 UNCHS044154 JAX00436295 UNC27782039 UNC27782319 UNC27782556 UNCHS044157 UNCHS044158 UNC27783294 JAX00436342 UNCHS044159 UNC27784624 UNCJPD006601 UNCHS044161 UNCHS044162 UNC27785817 UNC27786598 JAX00436408 JAX00075133 UNC27787813 UNC27789455 UNCHS044163 UNCHS044164 JAX00436462 UNC27790128 UNC27790980 JAX00075148 JAX00075149 UNCJPD008530 UNC27791907 UNC27792423 UNCHS044166 UNC27792845 UNC27793027 UNC27793239 UNC27793465 UNCHS044167 UNCHS044168 UNC27794178 UNCHS044169
UNC27781681 -1511.50329419923 -1511.50407394574 -1511.52390696962 -1511.71074413861 -1511.74557249697 -1511.746438102 -1511.74661274681 -1511.68286876942 -1511.67352391113 -1511.6358872687 -1511.63664035391 -1511.64972911787 -1511.78861744117 -1511.81323102634 -1511.82351334965 -1511.82501904039 -1511.82768944355 -1511.85243201942 -1511.85583581249 -1511.38683946902 -1511.17225097984 -1511.17988766647 -1511.19833543745 -1511.20123268971 -1511.34737999561 -1511.28741444211 -1510.89018012426 -1510.80475534161 -1510.77090328447 -1510.7848201753 -1510.79819380775 -1511.07331458063 -1511.46545223744 -1511.47595690439 -1511.47644618622 -1511.4847947466 -1511.48465211667 -1511.48452714737 -1511.48638199516 -1511.52409242995 -1511.64286266102
UNCHS044153 -1511.50301146202 -1511.5037912551 -1511.52362569942 -1511.71047952013 -1511.74531165119 -1511.74617733191 -1511.74635198269 -1511.68260738745 -1511.67326248562 -1511.63562568769 -1511.63637878286 -1511.64946772202 -1511.7883648444 -1511.81297884093 -1511.82326134396 -1511.82476706002 -1511.82743750927 -1511.85218069545 -1511.85558396242 -1511.38658238278 -1511.17199684622 -1511.17963355863 -1511.19808298899 -1511.20098051261 -1511.34712764828 -1511.28716238807 -1510.88993019257 -1510.80450569585 -1510.77065375093 -1510.78457067524 -1510.79794434193 -1511.07306131804 -1511.46519093003 -1511.47569687187 -1511.47618674762 -1511.48453598472 -1511.48439335138 -1511.48426837909 -1511.48612322083 -1511.52383354197 -1511.64259813957
UNCHS044154 -1511.49625579827 -1511.49703671003 -1511.51690068314 -1511.70411978427 -1511.73903778656 -1511.73990490104 -1511.74007954599 -1511.67631448035 -1511.6669682216 -1511.62932659526 -1511.6300797765 -1511.64317023132 -1511.78224688162 -1511.8068649993 -1511.81714930649 -1511.81865525748 -1511.82132614399 -1511.84607779655 -1511.84946623897 -1511.38034352618 -1511.16583439938 -1511.17346201532 -1511.19194947258 -1511.19485321462 -1511.3410086214 -1511.28105016417 -1510.88386870605 -1510.79845096711 -1510.76460167233 -1510.77851762041 -1510.79189041638 -1511.06685580679 -1511.45885600076 -1511.4693987112 -1511.46990953531 -1511.47827638004 -1511.47813376092 -1511.478008801 -1511.4798635364 -1511.51757189721 -1511.63617524038
JAX00436295 -1511.40642177428 -1511.40721041162 -1511.42725255466 -1511.61706781631 -1511.65265811444 -1511.65353645738 -1511.65371104091 -1511.58977414602 -1511.58041684085 -1511.54273612294 -1511.54349008819 -1511.55659434469 -1511.69731515069 -1511.72197136783 -1511.7322723501 -1511.73378047344 -1511.73645540004 -1511.76128214207 -1511.76453244357 -1511.29424553297 -1511.08039694405 -1511.08794163417 -1511.1067818547 -1511.10974327904 -1511.25595214103 -1511.19606027895 -1510.79936748645 -1510.71401741234 -1510.68019479667 -1510.69410248239 -1510.70746796595 -1510.98100153581 -1511.37183252462 -1511.38271252828 -1511.38341572721 -1511.39194322516 -1511.39180075239 -1511.39167591988 -1511.39352979329 -1511.43122240452 -1511.54841425518
UNC27782039 -1511.38429898596 -1511.3850884789 -1511.40514302544 -1511.59526559738 -1511.63095246519 -1511.63183242155 -1511.63200699241 -1511.56804240012 -1511.55868339359 -1511.52099670601 -1511.5217508119 -1511.53485754342 -1511.6758750529 -1511.70053822346 -1511.71084224819 -1511.71235076812 -1511.71502643164 -1511.73986619478 -1511.74309105256 -1511.27258232682 -1511.0588445144 -1511.06637417561 -1511.08527899399 -1511.08825098018 -1511.23446478057 -1511.17458584324 -1510.77798630855 -1510.69264966896 -1510.65883237806 -1510.67273871788 -1510.68610302334 -1510.9593688872 -1511.34999208084 -1511.36093304572 -1511.36167105505 -1511.37022740303 -1511.37008496001 -1511.36996015341 -1511.37181389484 -1511.40950412842 -1511.52645500807
UNC27782319 -1511.38386159502 -1511.38465111506 -1511.40470574223 -1511.59483219136 -1511.63052042578 -1511.63140046594 -1511.63157507014 -1511.56761284305 -1511.55825404632 -1511.52056816542 -1511.52132230587 -1511.53442964538 -1511.67545879039 -1511.70012328371 -1511.71042788514 -1511.71193648981 -1511.71461230579 -1511.73945348652 -1511.74267832745 -1511.27216501088 -1511.05842812562 -1511.06595949507 -1511.08486577998 -1511.0878380055 -1511.23404860242 -1511.17417005304 -1510.77757266634 -1510.6922364015 -1510.65841926135 -1510.6723259684 -1510.68569062476 -1510.95896393811 -1511.34957139667 -1511.36051205488 -1511.36124923121 -1511.36980578866 -1511.36966332581 -1511.36953850187 -1511.371392231 -1511.40908222479 -1511.52603561456
UNC27782556 -1511.38391821667 -1511.38470774422 -1511.40476238793 -1511.59488905545 -1511.63057734356 -1511.63145741945 -1511.63163204669 -1511.56767489516 -1511.55831639185 -1511.52063143809 -1511.52138559077 -1511.53449314553 -1511.6755256101 -1511.70019055158 -1511.71049534781 -1511.71200398124 -1511.71467984906 -1511.73952149698 -1511.74274649999 -1511.27223257819 -1511.05849547982 -1511.06602759939 -1511.08493402205 -1511.08790627015 -1511.2341152639 -1511.1742367198 -1510.77763928141 -1510.69230301922 -1510.65848588301 -1510.67239274937 -1510.68575755766 -1510.95903607285 -1511.34963757205 -1511.36057741497 -1511.36131387008 -1511.36987025551 -1511.36972778306 -1511.36960295071 -1511.37145667087 -1511.40914648486 -1511.52610224649
UNCHS044157 -1511.50191876089 -1511.50270931445 -1511.52275267743 -1511.71276299529 -1511.74842755343 -1511.74931721799 -1511.74950334981 -1511.69277991011 -1511.6839002171 -1511.64781241435 -1511.64856201029 -1511.66158958937 -1511.80242889675 -1511.82686135662 -1511.83706386342 -1511.83855707897 -1511.84120563252 -1511.86583146868 -1511.86906067611 -1511.39862236862 -1511.18504983797 -1511.19237547323 -1511.21106237769 -1511.21399911648 -1511.36001579708 -1511.30001266873 -1510.90283410632 -1510.81739401752 -1510.78354047619 -1510.79741184035 -1510.81074354809 -1511.08339825413 -1511.47446809079 -1511.4849741115 -1511.48556475419 -1511.49398633224 -1511.49384390093 -1511.49371910531 -1511.49556676678 -1511.53313253107 -1511.64944048511
UNCHS044158 -1511.50899465953 -1511.50978532294 -1511.52982772413 -1511.71982818862 -1511.75549074986 -1511.756381296 -1511.75656842381 -1511.70048986966 -1511.69165672263 -1511.65572926678 -1511.65647846234 -1511.66949900853 -1511.81031934021 -1511.83472935937 -1511.84492199345 -1511.84641372089 -1511.84905964004 -1511.87366408236 -1511.8768932587 -1511.4064578386 -1511.19289552154 -1511.20020166639 -1511.21886813374 -1511.22180157002 -1511.36780867212 -1511.30779435341 -1510.91056447308 -1510.82511531359 -1510.79125861587 -1510.80512636206 -1510.81845469061 -1511.09105785954 -1511.48216828017 -1511.49263347665 -1511.49321045748 -1511.50161906588 -1511.5014766251 -1511.50135182124 -1511.5031989533 -1511.54075386342 -1511.6570085611
UNC27783294 -1511.5338840466 -1511.53467512257 -1511.55471418633 -1511.74467975037 -1511.78033510512 -1511.78122878667 -1511.78141946922 -1511.72764081528 -1511.71897576799 -1511.6836291128 -1511.684376749 -1511.69736992458 -1511.83811666594 -1511.86243968377 -1511.87259412604 -1511.87408010149 -1511.87671584074 -1511.90123742957 -1511.90446576518 -1511.43404555959 -1511.22052764684 -1511.22775903925 -1511.24634880625 -1511.24926985397 -1511.39525533933 -1511.33519824269 -1510.93777148012 -1510.85228724486 -1510.81841826608 -1510.83227197829 -1510.84558720541 -1511.11800208192 -1511.50923882454 -1511.51955407227 -1511.52008159428 -1511.52844253796 -1511.52830005299 -1511.52817521065 -1511.53002044615 -1511.56753646459 -1511.68360789472
