UNC27781681 UNCHS044153 UNCHS044154 JAX00436295 UNC27782039 UNC27782319 UNC27782556 UNCHS044157 UNCHS044158 UNC27783294 JAX00436342 UNCHS044159 UNC27784624 UNCJPD006601 UNCHS044161 UNCHS044162 UNC27785817 UNC27786598 JAX00436408 JAX00075133 UNC27787813 UNC27789455 UNCHS044163 UNCHS044164 JAX00436462 UNC27790128 UNC27790980 JAX00075148 JAX00075149 UNCJPD008530 UNC27791907 UNC27792423 UNCHS044166 UNC27792845 UNC27793027 UNC27793239 UNC27793465 UNCHS044167 UNCHS044168 UNC27794178 UNCHS044169
UNC27781681 -1486.22121864879 -1486.22134293612 -1486.21117633733 -1486.20995598433 -1486.2291511485 -1486.22896414961 -1486.22874827618 -1485.97287384147 -1485.94528165386 -1485.83555530454 -1485.83564932227 -1485.83730880169 -1485.94926555563 -1485.95433528117 -1485.95659469252 -1485.95692002076 -1485.95753595062 -1485.9603342654 -1486.06027696252 -1486.21889019409 -1486.39259934385 -1486.98882797467 -1487.07893643534 -1487.09327452706 -1487.00547130174 -1486.98658085234 -1486.85358348663 -1486.83351891143 -1486.82549400248 -1486.84870365246 -1486.87080985296 -1488.64739502119 -1489.31817288956 -1489.26974136068 -1489.23492731351 -1489.19957733186 -1489.19943828675 -1489.1993166184 -1489.19942081084 -1489.20158448599 -1489.24932671369
UNCHS044153 -1486.22024811485 -1486.22037246403 -1486.21020751106 -1486.20900046642 -1486.22819766758 -1486.2280106938 -1486.22779481887 -1485.97192014666 -1485.94432791979 -1485.83460142093 -1485.83469543849 -1485.83635491481 -1485.94830912654 -1485.95337884533 -1485.95563825396 -1485.95596358232 -1485.95657951196 -1485.95937800789 -1486.05931970155 -1486.21793475815 -1486.39164504789 -1486.98786590622 -1487.07797313919 -1487.09231102952 -1487.00450676628 -1486.98561619807 -1486.85261845317 -1486.83255362859 -1486.82452861657 -1486.84773806034 -1486.86984406131 -1488.64641493341 -1489.31718596898 -1489.26875644876 -1489.23394349411 -1489.19859443101 -1489.19845538721 -1489.19833372 -1489.19843791163 -1489.20060156948 -1489.24834339645
UNCHS044154 -1486.2289438705 -1486.2290697461 -1486.21895353151 -1486.21821624016 -1486.23750342592 -1486.23731786519 -1486.23710196045 -1485.98118990181 -1485.95359426547 -1485.84385523069 -1485.84394923973 -1485.84560856831 -1485.95755655727 -1485.96262591576 -1485.96488517212 -1485.96521047895 -1485.96582637071 -1485.9686257363 -1486.06856574108 -1486.22718200596 -1486.40089306614 -1486.99710714501 -1487.08721489598 -1487.10155286423 -1487.01374362084 -1486.99485132344 -1486.86184569165 -1486.84177868386 -1486.83375277187 -1486.85696250365 -1486.8790687755 -1488.65575732323 -1489.32654736328 -1489.27812428223 -1489.2433147326 -1489.2079690946 -1489.20783004598 -1489.20770837453 -1489.20781254381 -1489.20997575095 -1489.25769713467
JAX00436295 -1486.34655649002 -1486.3466959062 -1486.3370007113 -1486.34047175129 -1486.36059541215 -1486.3604231576 -1486.36020704941 -1486.10402687237 -1486.07640656793 -1485.96657440758 -1485.96666838302 -1485.96832714757 -1486.08035846864 -1486.08542646309 -1486.08768520181 -1486.08801041738 -1486.08862617344 -1486.09142888003 -1486.19140701621 -1486.34991122659 -1486.52354497352 -1487.12013550552 -1487.21032218397 -1487.22467306343 -1487.13688373407 -1487.11798204359 -1486.98492134966 -1486.96484668739 -1486.9568176067 -1486.98004287792 -1487.00216409879 -1488.78080332735 -1489.45223283529 -1489.40377364218 -1489.36894181333 -1489.3335822021 -1489.33344304562 -1489.33332127975 -1489.33342515957 -1489.3355826677 -1489.38308739209
UNC27782039 -1486.37582131576 -1486.37596308658 -1486.36633864044 -1486.37055059457 -1486.390828087 -1486.39065831526 -1486.39044218507 -1486.13422930795 -1486.10660593609 -1485.99676154624 -1485.99685552499 -1485.99851435426 -1486.11059036656 -1486.11565852334 -1486.11791735375 -1486.11824257519 -1486.11885835133 -1486.1216606886 -1486.22165703172 -1486.38011500017 -1486.55371698477 -1487.15046815537 -1487.24068476416 -1487.25504055293 -1487.16726867299 -1487.14836664834 -1487.01529964291 -1486.99522620533 -1486.98719762426 -1487.01042842708 -1487.03255498139 -1488.81173081867 -1489.48337421072 -1489.43488841859 -1489.40004127687 -1489.3646695675 -1489.3645303781 -1489.36440858342 -1489.36451239306 -1489.36666854041 -1489.4141279564
UNC27782319 -1486.37695995261 -1486.37710174451 -1486.36747807874 -1486.37169963758 -1486.39197939035 -1486.39180965518 -1486.39159352448 -1486.13538917503 -1486.10776649201 -1485.99792447701 -1485.9980184604 -1485.9996773725 -1486.11175320553 -1486.11682155655 -1486.11908047727 -1486.11940571269 -1486.1200215139 -1486.12282403486 -1486.22282092896 -1486.38127777829 -1486.55487915995 -1487.15163530335 -1487.24185283695 -1487.25620878035 -1487.16844014758 -1487.14953811641 -1487.01647077385 -1486.99639734953 -1486.98836877434 -1487.01159972788 -1487.03372642918 -1488.81289109944 -1489.48453835594 -1489.436053572 -1489.40120684376 -1489.36583547872 -1489.36569629081 -1489.36557449743 -1489.36567830593 -1489.36783443748 -1489.41529149782
UNC27782556 -1486.37720790954 -1486.37734969747 -1486.36772591844 -1486.37194654158 -1486.39222614692 -1486.39205640849 -1486.39184027801 -1486.13564037821 -1486.10801804739 -1485.99817724903 -1485.9982712344 -1485.99993018161 -1486.11200534419 -1486.11707377885 -1486.11933273816 -1486.11965797966 -1486.12027379168 -1486.12307641829 -1486.22307340395 -1486.38153069352 -1486.55513260171 -1487.15188922806 -1487.24210684592 -1487.25646280377 -1487.16869509644 -1487.14979300613 -1487.01672530924 -1486.99665179909 -1486.98862318909 -1487.01185412669 -1487.03398081379 -1488.813134203 -1489.48478080931 -1489.43629679338 -1489.40145043549 -1489.36607937747 -1489.36594019058 -1489.36581839809 -1489.36592220681 -1489.36807834555 -1489.41553465527
UNCHS044157 -1486.3988030881 -1486.39894477664 -1486.38927689404 -1486.39311703942 -1486.41333290396 -1486.41316299387 -1486.41294797957 -1486.15873724107 -1486.13128391303 -1486.02204551628 -1486.02214011345 -1486.02380979494 -1486.13587210923 -1486.1409661594 -1486.1432364029 -1486.14356335316 -1486.14418220982 -1486.14700481278 -1486.24703983724 -1486.40574420465 -1486.57960130338 -1487.17625627079 -1487.26643809617 -1487.28078783588 -1487.1928334696 -1487.17388697663 -1487.0405791243 -1487.02044559639 -1487.01239201579 -1487.03558529868 -1487.05767629854 -1488.83408255462 -1489.50586468747 -1489.45740053149 -1489.42256241808 -1489.38720207755 -1489.38706304897 -1489.38694139522 -1489.38704558178 -1489.38920962676 -1489.43666787019
UNCHS044158 -1486.4062623344 -1486.40640400487 -1486.39673216242 -1486.40054056837 -1486.42075165885 -1486.42058169585 -1486.42036677015 -1486.16634987132 -1486.13891274582 -1486.02973299511 -1486.02982766984 -1486.03149871953 -1486.14355935373 -1486.14865663129 -1486.15092832232 -1486.15125549356 -1486.15187474085 -1486.15469946424 -1486.25472956126 -1486.4134294079 -1486.58727643272 -1487.18385506869 -1487.27402276915 -1487.2883701926 -1487.20040799315 -1487.1814605359 -1487.04814260785 -1487.02800612711 -1487.01995121111 -1487.04313893053 -1487.06522461347 -1488.84137858125 -1489.51317773104 -1489.46473829696 -1489.42991267146 -1489.39456395178 -1489.39442494852 -1489.39430331693 -1489.39440754165 -1489.39657238284 -1489.44404651815
UNC27783294 -1486.44228764384 -1486.44242924361 -1486.43274393752 -1486.43644542598 -1486.45664067485 -1486.456470449 -1486.45625580397 -1486.20290873546 -1486.17552648083 -1486.0665461552 -1486.06664111768 -1486.06831724885 -1486.18037237074 -1486.18548165551 -1486.18775875154 -1486.188086749 -1486.18870745434 -1486.19153956749 -1486.29154428031 -1486.45020878653 -1486.62399494184 -1487.22023870655 -1487.3103454174 -1487.32468286353 -1487.23669163991 -1487.21774394441 -1487.08440308599 -1487.06425890594 -1487.05620032186 -1487.07936671509 -1487.10143198496 -1488.87668396537 -1489.54853327913 -1489.50020623261 -1489.4654376475 -1489.43014162196 -1489.43000272479 -1489.42988118598 -1489.4299855426 -1489.43215314524 -1489.47969540261
