UNC27781681 UNCHS044153 UNCHS044154 JAX00436295 UNC27782039 UNC27782319 UNC27782556 UNCHS044157 UNCHS044158 UNC27783294 JAX00436342 UNCHS044159 UNC27784624 UNCJPD006601 UNCHS044161 UNCHS044162 UNC27785817 UNC27786598 JAX00436408 JAX00075133 UNC27787813 UNC27789455 UNCHS044163 UNCHS044164 JAX00436462 UNC27790128 UNC27790980 JAX00075148 JAX00075149 UNCJPD008530 UNC27791907 UNC27792423 UNCHS044166 UNC27792845 UNC27793027 UNC27793239 UNC27793465 UNCHS044167 UNCHS044168 UNC27794178 UNCHS044169
UNC27781681 -1479.50328748399 -1479.50633372007 -1479.50411527064 -1479.81762355252 -1479.94466174798 -1479.94492889557 -1479.94415888788 -1479.77580085508 -1479.74750925521 -1479.64705007153 -1479.64690586816 -1479.64440558308 -1479.88027403186 -1479.87355647837 -1479.87087210283 -1479.87042499261 -1479.86964653289 -1479.91616630875 -1479.75673500162 -1479.58999644642 -1479.4827679704 -1479.30832511119 -1479.42241396496 -1479.44214358399 -1479.59758753223 -1479.58737224039 -1479.58614426322 -1479.5990793842 -1479.60603620931 -1479.60441812394 -1479.60397766424 -1480.37268423483 -1481.39660485296 -1481.43621796516 -1481.4604834656 -1481.45944858971 -1481.45950306304 -1481.4595507574 -1481.45820408109 -1481.43183742528 -1483.60526403316
UNCHS044153 -1479.50156233475 -1479.504608097 -1479.50238004238 -1479.81581235451 -1479.94283954624 -1479.94310647511 -1479.9423364265 -1479.77397671768 -1479.74568500967 -1479.64522538231 -1479.64508117315 -1479.6425807861 -1479.87845692021 -1479.8717391886 -1479.8690547357 -1479.86860761149 -1479.86782912534 -1479.91435221911 -1479.7549194188 -1479.58818662469 -1479.48096905914 -1479.3065408276 -1479.42063499861 -1479.44036551073 -1479.5958113886 -1479.58559665941 -1479.58437206755 -1479.5973074305 -1479.60426435883 -1479.60264618542 -1479.60220566683 -1480.37094572892 -1481.3948927649 -1481.43450519735 -1481.45877048754 -1481.45773621303 -1481.45779068566 -1481.45783837942 -1481.45649169997 -1481.43012497827 -1483.60355074344
UNCHS044154 -1479.45315105481 -1479.45618892255 -1479.45360489437 -1479.76417015908 -1479.89076942225 -1479.89102862192 -1479.89025847382 -1479.72187635219 -1479.6935832055 -1479.59311802291 -1479.59297378727 -1479.59047293568 -1479.82657694222 -1479.81985924213 -1479.81717480001 -1479.81672761419 -1479.81594900464 -1479.86259492889 -1479.70311599175 -1479.53659071933 -1479.42975385455 -1479.25583028499 -1479.3701037881 -1479.38986436213 -1479.54532595977 -1479.53512799202 -1479.53400835775 -1479.54694901177 -1479.55390819421 -1479.55228929215 -1479.55184891756 -1480.32126342057 -1481.34607594994 -1481.38571508408 -1481.40999465993 -1481.40898072562 -1481.40903520725 -1481.40908290887 -1481.40773610874 -1481.38136676206 -1483.55456652894
JAX00436295 -1479.05214937796 -1479.05509910423 -1479.04886088968 -1479.32830978598 -1479.44985459595 -1479.45002455705 -1479.44925360253 -1479.28068914453 -1479.25238377418 -1479.15187134698 -1479.1517268827 -1479.14922201789 -1479.38697052837 -1479.38025256231 -1479.37756797711 -1479.3771203047 -1479.37634073085 -1479.42389607351 -1479.26407529166 -1479.09910039397 -1478.99513558145 -1478.82507082365 -1478.94070389518 -1478.96069243446 -1479.11635521977 -1479.10628750723 -1479.10597544811 -1479.11895808529 -1479.12593501154 -1479.12431272036 -1479.12387541166 -1479.89843297673 -1480.92971694715 -1480.96956208375 -1480.99395255093 -1480.9930954008 -1480.99314996106 -1480.99319773136 -1480.99184998782 -1480.96546004642 -1483.13697207803
UNC27782039 -1478.98872248165 -1478.99165299753 -1478.98467364292 -1479.25749220726 -1479.37788641019 -1479.37803638878 -1479.37726531026 -1479.20867277966 -1479.18036540358 -1479.07984521366 -1479.07970071098 -1479.07719517149 -1479.3151465599 -1479.30842842347 -1479.30574375913 -1479.30529601511 -1479.30451630192 -1479.35219022991 -1479.19232479055 -1479.02755529316 -1478.92397756627 -1478.75444625833 -1478.87026456677 -1478.89028418021 -1479.04599535362 -1479.03594621779 -1479.03574731779 -1479.04873616346 -1479.05571567902 -1479.05409346963 -1479.05365708126 -1479.8289231645 -1480.86106583137 -1480.90093984018 -1480.92534599636 -1480.92451079718 -1480.92456537067 -1480.92461315252 -1480.92326527292 -1480.89687234283 -1483.06816007419
UNC27782319 -1478.98623016064 -1478.98916033737 -1478.98216826692 -1479.25487241055 -1479.37524660927 -1479.37539580662 -1479.37462452681 -1479.20602471322 -1479.17771676271 -1479.07719431658 -1479.07704978686 -1479.07454376983 -1479.31250305908 -1479.30578396614 -1479.30309888531 -1479.30265107501 -1479.30187123728 -1479.34954561331 -1479.18967896623 -1479.0249122764 -1478.92134032654 -1478.75181648653 -1478.86763782186 -1478.88765795026 -1479.04337722558 -1479.03332849331 -1479.03313161388 -1479.046120632 -1479.05310022329 -1479.05147759757 -1479.05104082555 -1479.82639116671 -1480.85855127631 -1480.89841780528 -1480.92282080803 -1480.92198599903 -1480.92204056647 -1480.92208834305 -1480.92074045549 -1480.89434737305 -1483.06565364802
UNC27782556 -1478.98570065842 -1478.9886307983 -1478.98163868661 -1479.25434261745 -1479.37471681217 -1479.37486580819 -1479.37409442882 -1479.2054876908 -1479.17717887118 -1479.07665331179 -1479.07650877131 -1479.07400256484 -1479.31196401476 -1479.30524439889 -1479.30255909255 -1479.30211124722 -1479.30133134479 -1479.34900582794 -1479.18913966517 -1479.02437394585 -1478.92080278519 -1478.75127884272 -1478.86709993703 -1478.88712002507 -1479.04284273107 -1479.03279419667 -1479.03259783971 -1479.04558677909 -1479.05256633001 -1479.05094348796 -1479.05050650549 -1479.8258903127 -1480.85805233232 -1480.89791503819 -1480.92231638255 -1480.92148148017 -1480.92153604454 -1480.92158381844 -1480.92023592433 -1480.89384271711 -1483.06514534804
UNCHS044157 -1479.23562627817 -1479.23855855939 -1479.23160577139 -1479.50457906154 -1479.62498268438 -1479.62513192758 -1479.62435380693 -1479.44800904391 -1479.41873147537 -1479.31485705856 -1479.31471328524 -1479.31222101356 -1479.55011735994 -1479.54332796477 -1479.54061339809 -1479.54016125456 -1479.5393740624 -1479.58771135491 -1479.42857053363 -1479.26486159743 -1479.16208698784 -1478.99287777924 -1479.10837696155 -1479.12833988063 -1479.28414572858 -1479.27423636676 -1479.27442431405 -1479.28731083491 -1479.29423871563 -1479.2926093984 -1479.29216173638 -1480.06709612402 -1481.09899424391 -1481.13875272188 -1481.163091669 -1481.16217133017 -1481.16222523839 -1481.16227243781 -1481.16092106454 -1481.13445730821 -1483.29242484344
UNCHS044158 -1479.27816366079 -1479.28109621982 -1479.27414666616 -1479.54714146209 -1479.66754725279 -1479.66769678471 -1479.66691794475 -1479.48947264003 -1479.46007138953 -1479.35575823223 -1479.35561434353 -1479.35312005276 -1479.59100667186 -1479.58421045297 -1479.58149289577 -1479.58104030386 -1479.58025231911 -1479.62862655458 -1479.46953042814 -1479.30588000452 -1479.20314807025 -1479.03395249388 -1479.1494302509 -1479.1693893899 -1479.3252041024 -1479.3153041445 -1479.31552049931 -1479.32840163909 -1479.33532670258 -1479.33369789857 -1479.33325041934 -1480.10817564885 -1481.14005438533 -1481.17980820244 -1481.20414444847 -1481.2032234251 -1481.20327727576 -1481.20332442479 -1481.20197294314 -1481.17550681611 -1483.33229610896
UNC27783294 -1479.45358201098 -1479.4565156168 -1479.44957765902 -1479.72264983018 -1479.84306349949 -1479.84321436117 -1479.84243308216 -1479.66108629458 -1479.63124919912 -1479.52538085363 -1479.52523651056 -1479.52273426404 -1479.76056504996 -1479.75374717222 -1479.75102012808 -1479.75056612507 -1479.7497756384 -1479.79827967741 -1479.639335093 -1479.47587851996 -1479.37328560716 -1479.2041213835 -1479.31952347817 -1479.33946926968 -1479.49526867304 -1479.48540090609 -1479.48571541652 -1479.49857780219 -1479.5054930626 -1479.50386600467 -1479.50341913262 -1480.27812159233 -1481.30992167397 -1481.34966606394 -1481.37399457039 -1481.37307596324 -1481.37312958262 -1481.37317652922 -1481.37182482832 -1481.34535346237 -1483.49759935966
