UNC27781681 UNCHS044153 UNCHS044154 JAX00436295 UNC27782039 UNC27782319 UNC27782556 UNCHS044157 UNCHS044158 UNC27783294 JAX00436342 UNCHS044159 UNC27784624 UNCJPD006601 UNCHS044161 UNCHS044162 UNC27785817 UNC27786598 JAX00436408 JAX00075133 UNC27787813 UNC27789455 UNCHS044163 UNCHS044164 JAX00436462 UNC27790128 UNC27790980 JAX00075148 JAX00075149 UNCJPD008530 UNC27791907 UNC27792423 UNCHS044166 UNC27792845 UNC27793027 UNC27793239 UNC27793465 UNCHS044167 UNCHS044168 UNC27794178 UNCHS044169
UNC27781681 -1908.79296652659 -1908.7916437372 -1908.79768092856 -1908.87515599988 -1908.89155752029 -1908.89189027113 -1908.89181598566 -1908.66356599786 -1908.63952176631 -1908.55200455775 -1908.55130260622 -1908.53853955478 -1908.52208706189 -1908.47848553114 -1908.45850620128 -1908.45546002162 -1908.4500485076 -1908.40405982304 -1908.38452947716 -1909.9837112888 -1925.56506346127 -1926.29771697587 -1926.40514599678 -1926.42564532323 -1935.82597829059 -1936.06399890095 -1940.69777147365 -1942.46024032872 -1943.2534424669 -1943.31990768081 -1943.39290688716 -1945.4990763388 -1958.52504701581 -1959.46009953262 -1960.0108827947 -1960.03846255919 -1960.03914462445 -1960.03973748052 -1960.03406596125 -1959.94633397487 -1965.36396900397
UNCHS044153 -1908.79233008523 -1908.79101080836 -1908.79704106473 -1908.8743345794 -1908.89068613992 -1908.89101731999 -1908.89094308469 -1908.66268951344 -1908.6386452434 -1908.551128041 -1908.550426146 -1908.53766407793 -1908.52109334585 -1908.47749633753 -1908.45751891926 -1908.45447304083 -1908.44906207736 -1908.40304342335 -1908.38350231298 -1909.98315672354 -1925.56597190545 -1926.29835864285 -1926.40574338235 -1926.4262354609 -1935.82674388385 -1936.06476320261 -1940.69848065453 -1942.46093626573 -1943.25413213996 -1943.32060309911 -1943.39360742381 -1945.49982117362 -1958.52606405714 -1959.46136938675 -1960.01228659821 -1960.03995528261 -1960.04063739179 -1960.04123028607 -1960.0355586941 -1959.94782500686 -1965.36543634712
UNCHS044154 -1908.79437629242 -1908.79305509937 -1908.79942705352 -1908.88064291422 -1908.89779178429 -1908.89813823976 -1908.89806400133 -1908.66979952635 -1908.64575309661 -1908.55822706027 -1908.55752532636 -1908.54476607785 -1908.52846102395 -1908.48485633901 -1908.46487567227 -1908.46182929139 -1908.45641741696 -1908.41044317322 -1908.39091202087 -1909.98804851865 -1925.54945977383 -1926.28931636111 -1926.39769694701 -1926.41834730647 -1935.81829542637 -1936.05635892507 -1940.69103060448 -1942.4536847515 -1943.24697470776 -1943.3133458641 -1943.38626024416 -1945.49291898873 -1958.51579236596 -1959.44672072133 -1959.99503175253 -1960.02045477852 -1960.02113377051 -1960.02172394388 -1960.0160492744 -1959.92826153615 -1965.34213441947
JAX00436295 -1908.81690953996 -1908.81550302097 -1908.824803221 -1908.94614411215 -1908.97322801402 -1908.97379927189 -1908.97372544734 -1908.74529404613 -1908.72120377284 -1908.63349450842 -1908.63279672541 -1908.62010657451 -1908.61264628306 -1908.56893460346 -1908.54890819404 -1908.54585385791 -1908.54042677324 -1908.49649428051 -1908.47765093862 -1910.03252834153 -1925.38496837041 -1926.19096389028 -1926.30850715074 -1926.33062429778 -1935.72982739799 -1935.9682083716 -1940.61039054037 -1942.37449388139 -1943.16848420446 -1943.2339597702 -1943.30606690148 -1945.41728326847 -1958.41079784905 -1959.30535439107 -1959.83255212156 -1959.84009236995 -1959.84074647939 -1959.84131493327 -1959.83560730054 -1959.7472161542 -1965.12812555425
UNC27782039 -1908.82118980783 -1908.81975716865 -1908.82948032396 -1908.95800940266 -1908.98732158351 -1908.9879496338 -1908.98787598521 -1908.7594025282 -1908.73529966866 -1908.64753737498 -1908.64684080917 -1908.63417194123 -1908.6296725393 -1908.58593596112 -1908.56589883129 -1908.56284247261 -1908.55741140832 -1908.51419657516 -1908.49561020415 -1910.03935541786 -1925.35587355337 -1926.17155974543 -1926.2905459927 -1926.31289721785 -1935.7130214473 -1935.9514294205 -1940.59450708556 -1942.35875593265 -1943.15282061724 -1943.21815664322 -1943.29013786404 -1945.40213304103 -1958.39111717755 -1959.28057469116 -1959.80493930347 -1959.81014728061 -1959.8107981283 -1959.81136373499 -1959.80564958519 -1959.71713423944 -1965.09287623523
UNC27782319 -1908.82164015661 -1908.82020629811 -1908.82993546132 -1908.95862664236 -1908.98799591768 -1908.98862628869 -1908.9885530008 -1908.76012577606 -1908.73602394125 -1908.64826069028 -1908.64756479443 -1908.63490762057 -1908.63058695331 -1908.586870972 -1908.56684251506 -1908.56378741915 -1908.55835856435 -1908.51518631128 -1908.49661471765 -1910.04005125409 -1925.35544164301 -1926.17146439412 -1926.29050284046 -1926.31286263111 -1935.7134855212 -1935.95189959004 -1940.59503106777 -1942.35929166781 -1943.15336176715 -1943.21869545807 -1943.29067451387 -1945.40301139462 -1958.39231997493 -1959.28200835291 -1959.80652256633 -1959.81176952557 -1959.81242003847 -1959.81298535231 -1959.80727080236 -1959.71874797025 -1965.09388425423
UNC27782556 -1908.82155284436 -1908.82011903052 -1908.82984814815 -1908.95854004819 -1908.98790971703 -1908.98854046928 -1908.98846748153 -1908.76021065075 -1908.7361139552 -1908.64836337342 -1908.64766791784 -1908.63501839702 -1908.63073977039 -1908.58703969612 -1908.56701791952 -1908.56396381019 -1908.55853668617 -1908.51537388837 -1908.49680532988 -1910.04027234413 -1925.35572598506 -1926.17180001643 -1926.29084520553 -1926.31320611103 -1935.71406844033 -1935.95248585623 -1940.59564632667 -1942.35991374847 -1943.15398612117 -1943.21932117378 -1943.29130142042 -1945.40379220996 -1958.39332049107 -1959.28317826589 -1959.80779083286 -1959.81307815446 -1959.81372852968 -1959.81429372305 -1959.80857898538 -1959.72005229038 -1965.09494967707
UNCHS044157 -1908.5154201239 -1908.51398714628 -1908.52371055774 -1908.65224021528 -1908.68155863965 -1908.68229268145 -1908.68231271633 -1908.6449152837 -1908.63233450794 -1908.58201867882 -1908.58157899121 -1908.57337384075 -1908.57619463139 -1908.54220939045 -1908.52628152754 -1908.52383622532 -1908.51947118469 -1908.4774229052 -1908.4590258645 -1910.0229358089 -1925.42150977823 -1926.3079210889 -1926.4357035677 -1926.45946122096 -1935.87887031562 -1936.12039645909 -1940.82851596317 -1942.61534521297 -1943.41893627272 -1943.48618120798 -1943.56003640519 -1945.67445974547 -1958.58568231226 -1959.41607811634 -1959.90483107332 -1959.88330409357 -1959.88388034131 -1959.88438077061 -1959.8786495787 -1959.7892647831 -1965.15290577169
UNCHS044158 -1908.49850776915 -1908.49707529165 -1908.50679923579 -1908.63527694553 -1908.66457361909 -1908.66531439318 -1908.6653333396 -1908.63383925216 -1908.62194348493 -1908.57416097232 -1908.57373640732 -1908.56579607679 -1908.56911401139 -1908.53571764897 -1908.52003946142 -1908.51763134991 -1908.51333123634 -1908.47138536966 -1908.45300739308 -1910.01751996571 -1925.42115923531 -1926.31205841383 -1926.44042231039 -1926.46427321462 -1935.88536757559 -1936.12709141222 -1940.83954931539 -1942.62798511931 -1943.43227525295 -1943.49966168307 -1943.57365627129 -1945.68775194719 -1958.59132207185 -1959.41747228583 -1959.9038439555 -1959.88061990306 -1959.8811908264 -1959.88168660279 -1959.87595893891 -1959.78661166969 -1965.15097885151
UNC27783294 -1908.437266679 -1908.43583614215 -1908.44556151857 -1908.57382129547 -1908.60302845706 -1908.60378965784 -1908.60380242601 -1908.58782211164 -1908.57803249332 -1908.53829678939 -1908.53791424015 -1908.53071214536 -1908.53497789033 -1908.50333460175 -1908.4884005253 -1908.48610339045 -1908.48199686513 -1908.44023630372 -1908.42186971 -1909.98768397726 -1925.40828711502 -1926.3146599327 -1926.44506360319 -1926.46924196618 -1935.89179155431 -1936.13409422969 -1940.86215531343 -1942.65669869773 -1943.46370161599 -1943.5315209217 -1943.60594895826 -1945.713873652 -1958.5901392311 -1959.3999279473 -1959.87768821671 -1959.84844743522 -1959.84899903251 -1959.84947791881 -1959.84376614403 -1959.75462256253 -1965.12247222835
JAX00436342 -1908.43734184416 -1908.43591133653 -1908.44563667737 -1908.5738989159 -1908.60310714218 -1908.60386884905 -1908.60388180542 -1908.5879551639 -1908.57817141452 -1908.53845573315 -1908.53807573781 -1908.53091827313 -1908.53548332919 -1908.50392508178 -1908.48902635343 -1908.48673439769 -1908.48263695157 -1908.44095203221 -1908.42260992154 -1909.98856247786 -1925.40935266882 -1926.31583651339 -1926.44625845972 -1926.47044001097 -1935.89430597505 -1936.13661408837 -1940.86464490577 -1942.65917756874 -1943.46617568945 -1943.53396891859 -1943.60837092082 -1945.71596102426 -1958.59205808041 -1959.40173097736 -1959.8795253385 -1959.85030337401 -1959.85085502639 -1959.85133396078 -1959.84562208567 -1959.75647688232 -1965.12436338048
UNCHS044159 -1908.43825718569 -1908.43682718725 -1908.44655191503 -1908.57485735468 -1908.60408424142 -1908.60485480992 -1908.60487104409 -1908.58985189868 -1908.58016885616 -1908.54079735961 -1908.54046222193 -1908.53408926278 -1908.54394518721 -1908.51389471301 -1908.4996243266 -1908.49742451941 -1908.49348867482 -1908.45315377228 -1908.43525019075 -1910.00359701064 -1925.42766639742 -1926.33616001142 -1926.46691598106 -1926.49115569851 -1935.93862660839 -1936.18103791516 -1940.90855667222 -1942.7029065093 -1943.5098228132 -1943.57717346071 -1943.65113231003 -1945.75329692165 -1958.62638469109 -1959.4339624578 -1959.91232598489 -1959.88341470522 -1959.88396733172 -1959.8844471166 -1959.87873351268 -1959.78955992623 -1965.15807395167
UNC27784624 -1908.48159219628 -1908.48008017697 -1908.48977471516 -1908.62330397708 -1908.65473495006 -1908.65561564811 -1908.65565172047 -1908.64315725027 -1908.63371167728 -1908.59466141421 -1908.59454458274 -1908.5920294771 -1908.65283838643 -1908.62870010618 -1908.61686459067 -1908.61501893611 -1908.61170288469 -1908.57653905087 -1908.56035738327 -1910.11488636536 -1925.42065581766 -1926.38009252331 -1926.51784558382 -1926.54323084026 -1936.1232987054 -1936.36473496158 -1941.08447739636 -1942.87677416224 -1943.68282583347 -1943.7494735839 -1943.82272527005 -1945.90616802479 -1958.77653761935 -1959.58221278322 -1960.06121796392 -1960.03240064635 -1960.03295033017 -1960.03342753813 -1960.02773685873 -1959.93902895434 -1965.31724007786
UNCJPD006601 -1908.46779632161 -1908.46628790153 -1908.47597468875 -1908.60937258798 -1908.64076917355 -1908.64166581511 -1908.64171005357 -1908.6333334422 -1908.62418322985 -1908.58613604496 -1908.58611077614 -1908.58520630625 -1908.65936250606 -1908.6389990394 -1908.62876635756 -1908.62715647694 -1908.62425483351 -1908.59253776172 -1908.57750846218 -1910.13589232849 -1925.44418941271 -1926.41128304457 -1926.55031391318 -1926.57591624813 -1936.21838094337 -1936.46019515098 -1941.17962172471 -1942.97178341377 -1943.77777418981 -1943.84366683847 -1943.91614436088 -1945.99257433958 -1958.85538877336 -1959.65541281242 -1960.13519483568 -1960.10675143702 -1960.10730289375 -1960.10778165058 -1960.1020871586 -1960.01330942988 -1965.39243496264
